-20;0.430418;1.06336
-19.8;0.644814;1.1849
-19.6;0.885631;1.2576
-19.4;1.13513;1.27518
-19.2;1.38299;1.24442
-19;1.62408;1.16122
-18.8;1.83853;1.02751
-18.6;2.02063;0.860256
-18.4;2.17215;0.658267
-18.2;2.27438;0.425921
-18;2.32552;0.188174
-17.8;2.3385;-0.0524188
-17.6;2.30274;-0.29592
-17.4;2.2176;-0.520125
-17.2;2.0997;-0.7197
-17;1.94793;-0.896342
-16.8;1.76616;-1.03616
-16.6;1.56982;-1.13781
-16.4;1.36103;-1.2044
-16.2;1.14658;-1.22903
-16;0.939082;-1.2158
-15.8;0.740013;-1.1696
-15.6;0.556093;-1.08877
-15.4;0.395534;-0.981267
-15.2;0.257391;-0.85263
-15;0.146532;-0.704294
-14.8;0.0662129;-0.545707
-14.6;0.0128626;-0.381327
-14.4;-0.0108791;-0.213741
-14.2;-0.00615236;-0.0516802
-14;0.0217786;0.102786
-13.8;0.0739018;0.247239
-13.6;0.145951;0.375103
-13.4;0.232421;0.487198
-13.2;0.333565;0.581769
-13;0.443428;0.654965
-12.8;0.557667;0.710205
-12.6;0.676564;0.746189
-12.4;0.793655;0.761726
-12.2;0.906782;0.761986
-12;1.01658;0.745535
-11.8;1.11681;0.713458
-11.6;1.20805;0.671622
-11.4;1.29112;0.61777
-11.2;1.36034;0.554898
-11;1.41914;0.488569
-10.8;1.46801;0.415083
-10.6;1.50174;0.339248
-10.4;1.52676;0.265572
-10.2;1.5424;0.188256
-10;1.54339;0.114289
-9.8;1.53967;0.0469819
-9.6;1.5289;-0.0229372
-9.4;1.50367;-0.0858204
-9.2;1.47818;-0.137138
-9;1.45141;-0.191439
-8.8;1.41085;-0.240509
-8.6;1.36975;-0.275083
-8.4;1.33213;-0.30913
-8.2;1.28627;-0.339885
-8;1.24027;-0.35908
-7.8;1.19781;-0.376263
-7.6;1.1511;-0.38964
-7.4;1.10626;-0.394379
-7.2;1.06462;-0.397682
-7;1.02091;-0.397014
-6.8;0.980545;-0.390103
-6.6;0.942881;-0.382646
-6.4;0.904478;-0.371385
-6.2;0.870165;-0.355951
-6;0.837822;-0.340665
-5.8;0.805603;-0.321838
-5.6;0.777609;-0.300576
-5.4;0.750714;-0.279793
-5.2;0.724534;-0.2557
-5;0.702262;-0.23055
-4.8;0.68018;-0.205798
-4.6;0.659253;-0.177884
-4.4;0.641573;-0.149905
-4.2;0.623218;-0.121817
-4;0.606347;-0.0906094
-3.8;0.591769;-0.0598977
-3.6;0.575707;-0.028124
-3.4;0.561305;0.00689578
-3.2;0.547885;0.0413898
-3;0.532118;0.0784619
-2.8;0.517822;0.119248
-2.6;0.502529;0.160274
-2.4;0.483511;0.206307
-2.2;0.464689;0.257325
-2;0.441066;0.310788
-1.8;0.410028;0.373504
-1.6;0.373935;0.444333
-1.4;0.322342;0.522407
-1.2;0.248628;0.616837
-1;0.14536;0.723104
-0.8;-0.019328;0.834666
-0.6;-0.280701;0.938193
-0.4;-0.676801;0.946424
-0.2;-1.18335;0.670769
-3.7581e-14;-1.46417;1.46105e-13
0.2;-1.18335;-0.670769
0.4;-0.676801;-0.946424
0.6;-0.280701;-0.938193
0.8;-0.019328;-0.834666
1;0.14536;-0.723104
1.2;0.248628;-0.616837
1.4;0.322342;-0.522407
1.6;0.373935;-0.444333
1.8;0.410028;-0.373504
2;0.441066;-0.310788
2.2;0.464689;-0.257325
2.4;0.483511;-0.206307
2.6;0.502529;-0.160274
2.8;0.517822;-0.119248
3;0.532118;-0.0784619
3.2;0.547885;-0.0413898
3.4;0.561305;-0.00689578
3.6;0.575707;0.028124
3.8;0.591769;0.0598977
4;0.606347;0.0906094
4.2;0.623218;0.121817
4.4;0.641573;0.149905
4.6;0.659253;0.177884
4.8;0.68018;0.205798
5;0.702262;0.23055
5.2;0.724534;0.2557
5.4;0.750714;0.279793
5.6;0.777609;0.300576
5.8;0.805603;0.321838
6;0.837822;0.340665
6.2;0.870165;0.355951
6.4;0.904478;0.371385
6.6;0.942881;0.382646
6.8;0.980545;0.390103
7;1.02091;0.397014
7.2;1.06462;0.397682
7.4;1.10626;0.394379
7.6;1.1511;0.38964
7.8;1.19781;0.376263
8;1.24027;0.35908
8.2;1.28627;0.339885
8.4;1.33213;0.30913
8.6;1.36975;0.275083
8.8;1.41085;0.240509
9;1.45141;0.191439
9.2;1.47818;0.137138
9.4;1.50367;0.0858204
9.6;1.5289;0.0229372
9.8;1.53967;-0.0469819
10;1.54339;-0.114289
10.2;1.5424;-0.188256
10.4;1.52676;-0.265572
10.6;1.50174;-0.339248
10.8;1.46801;-0.415083
11;1.41914;-0.488569
11.2;1.36034;-0.554898
11.4;1.29112;-0.61777
11.6;1.20805;-0.671622
11.8;1.11681;-0.713458
12;1.01658;-0.745535
12.2;0.906782;-0.761986
12.4;0.793655;-0.761726
12.6;0.676564;-0.746189
12.8;0.557667;-0.710205
13;0.443428;-0.654965
13.2;0.333565;-0.581769
13.4;0.232421;-0.487198
13.6;0.145951;-0.375103
13.8;0.0739018;-0.247239
14;0.0217786;-0.102786
14.2;-0.00615236;0.0516802
14.4;-0.0108791;0.213741
14.6;0.0128626;0.381327
14.8;0.0662129;0.545707
15;0.146532;0.704294
15.2;0.257391;0.85263
15.4;0.395534;0.981267
15.6;0.556093;1.08877
15.8;0.740013;1.1696
16;0.939082;1.2158
16.2;1.14658;1.22903
16.4;1.36103;1.2044
16.6;1.56982;1.13781
16.8;1.76616;1.03616
17;1.94793;0.896342
17.2;2.0997;0.7197
17.4;2.2176;0.520125
17.6;2.30274;0.29592
17.8;2.3385;0.0524188
18;2.32552;-0.188174
18.2;2.27438;-0.425921
18.4;2.17215;-0.658267
18.6;2.02063;-0.860256
18.8;1.83853;-1.02751
19;1.62408;-1.16122
19.2;1.38299;-1.24442
19.4;1.13513;-1.27518
19.6;0.885631;-1.2576
19.8;0.644814;-1.1849
20;0.430418;-1.06336
